政黨,排名,名字,性別 1:男，2:女,出生日期  民國年月日，,年齡,出生地,學歷,現任 Y:現任，N:非現任,當選註記 *:當選，“ “:未當選 ，!:婦女保障
中國國民黨,1,王金平,1,300317,74,高雄市,大學,Y,*
中國國民黨,2,柯志恩,2,510429,53,臺灣省,博士,N,*
中國國民黨,3,陳宜民,1,451228,59,臺北市,博士,N,*
中國國民黨,4,林麗蟬,2,661002,38,其他,碩士,N,*
中國國民黨,5,許毓仁,1,670719,37,高雄市,大學,N,*
中國國民黨,6,曾銘宗,1,480122,56,臺灣省,博士,N,*
中國國民黨,7,黃昭順,2,420822,62,臺灣省,碩士,Y,*
中國國民黨,8,吳志揚,1,580208,46,桃園市,碩士,N,*
中國國民黨,9,張麗善,2,530101,52,臺灣省,碩士,N,*
中國國民黨,10,徐榛蔚,2,571012,47,桃園市,大學,N,*
中國國民黨,11,曾永權,1,360910,68,臺灣省,大學,N,-
中國國民黨,12,王育敏,2,600411,44,臺灣省,碩士,Y,!
中國國民黨,13,胡筑生,1,370408,67,其他,碩士,N, 
中國國民黨,14,林奕華,2,571021,47,臺中市,碩士,N, 
中國國民黨,15,童惠珍,2,540616,50,臺北市,碩士,N, 
中國國民黨,16,李貴敏,2,481211,56,臺北市,博士,Y, 
中國國民黨,17,徐巧芯,2,781118,26,臺北市,大學,N, 
中國國民黨,18,陳玉梅,2,550722,49,臺中市,碩士,N, 
中國國民黨,19,侯佳齡,2,640805,40,桃園市,碩士,N, 
中國國民黨,20,李德維,1,580901,46,臺中市,碩士,N, 
中國國民黨,21,馬在勤,1,580108,47,臺灣省,碩士,N, 
中國國民黨,22,連元章,1,430725,61,新北市,大學,N, 
中國國民黨,23,林倩綺,2,571017,47,高雄市,博士,N, 
中國國民黨,24,邱素蘭,2,430208,61,臺南市,博士,N, 
中國國民黨,25,王桂芸,2,411012,63,臺灣省,博士,N, 
中國國民黨,26,林信華,1,560708,48,臺灣省,博士,N, 
中國國民黨,27,楊建中,1,340609,70,其他,大學,N, 
中國國民黨,28,郭淑娟,2,540831,50,臺灣省,碩士,N, 
中國國民黨,29,鄭女勤,2,530302,51,臺南市,碩士,N, 
中國國民黨,30,李正皓,1,730620,31,臺北市,碩士,N, 
中國國民黨,31,曾瓊瑤,2,611109,43,新北市,碩士,N, 
中國國民黨,32,林家興,1,790608,25,臺北市,大學,N, 
中國國民黨,33,蕭敬嚴,1,811215,23,臺北市,高中,N, 
民主進步黨,1,吳焜裕,1,480220,56,臺灣省,博士,N,*
民主進步黨,2,吳玉琴,2,530815,51,臺灣省,碩士,N,*
民主進步黨,3,陳曼麗,2,440205,60,臺北市,碩士,N,*
民主進步黨,4,顧立雄,1,471031,57,臺灣省,碩士,N,*
民主進步黨,5,蔡培慧,2,600902,44,臺灣省,博士,N,*
民主進步黨,6,王榮璋,1,530528,51,高雄市,高中,N,*
民主進步黨,7,谷辣斯‧尤達卡 Kolas Yotaka,2,630317,41,臺灣省,碩士,N,*
民主進步黨,8,余宛如,2,690611,35,臺北市,大學,N,*
民主進步黨,9,蘇嘉全,1,451022,59,臺灣省,碩士,N,*
民主進步黨,10,段宜康,1,521114,52,臺北市,大學,Y,*
民主進步黨,11,鄭麗君,2,580619,46,臺北市,碩士,Y,*
民主進步黨,12,陳其邁,1,531223,51,臺灣省,碩士,Y,*
民主進步黨,13,尤美女,2,440129,60,臺灣省,碩士,Y,*
民主進步黨,14,李應元,1,420316,62,臺灣省,博士,Y,*
民主進步黨,15,鍾孔炤,1,451114,59,臺灣省,高中,N,*
民主進步黨,16,林靜儀,2,630212,41,臺灣省,碩士,N,*
民主進步黨,17,徐國勇,1,470607,57,臺北市,博士,N,*
民主進步黨,18,施義芳,1,510210,53,臺灣省,碩士,N,-
民主進步黨,19,周春米,2,551101,49,臺灣省,大學,N,!
民主進步黨,20,李麗芬,2,571220,47,臺灣省,大學,N, 
民主進步黨,21,郭正亮,1,500624,54,高雄市,博士,N, 
民主進步黨,22,邱泰源,1,451030,59,臺灣省,碩士,N, 
民主進步黨,23,蔣絜安,2,570707,47,臺灣省,碩士,N, 
民主進步黨,24,陳靜敏,2,550502,49,臺北市,博士,N, 
民主進步黨,25,黃義佑,1,561125,48,高雄市,博士,N, 
民主進步黨,26,余莓莓,2,530714,51,臺北市,博士,N, 
民主進步黨,27,陳義聰,1,440605,60,高雄市,大學,N, 
民主進步黨,28,江梅惠Abu．Kaaviana,2,521218,52,高雄市,碩士,N, 
民主進步黨,29,謝世英,1,340703,70,臺灣省,碩士,N, 
民主進步黨,30,曾美玲,2,620311,42,臺灣省,大學,N, 
民主進步黨,31,董建宏,1,600831,44,高雄市,博士,N, 
民主進步黨,32,蔡宛芬,2,590912,45,臺南市,碩士,N, 
民主進步黨,33,黃帝穎,1,730123,31,臺北市,碩士,N, 
民主進步黨,34,王貴蓮,2,540122,50,新北市,碩士,N, 
新黨,1,葉毓蘭,2,470227,57,臺灣省,博士,N, 
新黨,2,邱毅,1,450508,59,高雄市,博士,N, 
新黨,3,沈采穎,2,500107,55,臺北市,碩士,N, 
新黨,4,唐慧琳,2,601021,44,新北市,大學,N, 
新黨,5,陳麗玲,2,580727,46,桃園市,碩士,N, 
新黨,6,王炳忠,1,760831,28,臺北市,碩士,N, 
新黨,7,蘇恆,2,741002,30,臺北市,碩士,N, 
新黨,8,侯漢廷,1,771030,27,臺北市,其他,N, 
新黨,9,趙家蓉,2,511111,53,臺北市,大學,N, 
新黨,10,楊世光,1,651024,39,新北市,專科,N, 
親民黨,1,李鴻鈞,1,480511,56,新北市,博士,Y,*
親民黨,2,陳怡潔,2,680909,36,臺北市,博士,Y,*
親民黨,3,周陳秀霞,2,470114,58,臺南市,其他,N,*
親民黨,4,黃越宏,1,450727,59,臺南市,碩士,N, 
親民黨,5,楊紫宗,1,501102,54,臺中市,碩士,N, 
親民黨,6,何偉真,2,400104,65,臺中市,博士,N, 
親民黨,7,葉青,2,351101,69,臺灣省,其他,N, 
親民黨,8,胡祖慶,1,511119,53,臺北市,博士,N, 
親民黨,9,鄭美蘭,2,461028,58,臺灣省,專科,N, 
親民黨,10,任睦杉,1,531108,51,臺北市,專科,N, 
親民黨,11,劉冠霆,1,460910,58,臺灣省,高中,N, 
親民黨,12,董貞吟,2,501011,54,高雄市,博士,N, 
親民黨,13,藍姿寬,2,380409,66,臺灣省,碩士,N, 
親民黨,14,張克士,1,540106,51,臺灣省,碩士,N, 
親民黨,15,黎淑慧,2,491110,55,臺灣省,博士,N, 
親民黨,16,李漢強,1,770919,27,臺北市,大學,N, 
台灣團結聯盟,1,陳奕齊,1,610827,43,臺灣省,碩士,N, 
台灣團結聯盟,2,顏綠芬,2,431029,61,臺灣省,博士,N, 
台灣團結聯盟,3,賴振昌,1,470115,58,臺北市,博士,Y, 
台灣團結聯盟,4,傅馨儀,2,670227,37,臺北市,碩士,N, 
台灣團結聯盟,5,黃光藝,1,600323,44,臺灣省,其他,N, 
台灣團結聯盟,6,李心儀,2,661019,38,臺南市,博士,N, 
台灣團結聯盟,7,高基讚,1,461113,58,臺中市,專科,N, 
台灣團結聯盟,8,張素華,2,531007,51,臺北市,碩士,N, 
台灣團結聯盟,9,張兆林,1,641108,40,金馬地區,碩士,N, 
台灣團結聯盟,10,周倪安,2,611007,43,臺北市,碩士,Y, 
台灣團結聯盟,11,丁文祺,1,430909,61,臺灣省,其他,N, 
台灣團結聯盟,12,林玉芳,2,580315,46,臺南市,碩士,N, 
台灣團結聯盟,13,李卓翰,1,581213,46,臺北市,碩士,N, 
台灣團結聯盟,14,張禾沂,2,480717,56,高雄市,碩士,N, 
台灣團結聯盟,15,蔡青芳,2,631024,41,臺南市,大學,N, 
無黨團結聯盟,1,林炳坤,1,370815,67,高雄市,大學,N, 
無黨團結聯盟,2,黃美蘭,2,580422,46,高雄市,其他,N, 
無黨團結聯盟,3,游旻慈,2,700922,34,新北市,大學,N, 
無黨團結聯盟,4,鄭美珠,2,550721,49,臺灣省,碩士,N, 
無黨團結聯盟,5,蔡??,1,501010,54,臺北市,高中,N, 
無黨團結聯盟,6,蔡錦賢,1,380124,66,新北市,其他,N, 
無黨團結聯盟,7,謝忠恆,1,690824,35,臺灣省,博士,N, 
中華統一促進黨,1,張安樂,1,370313,67,其他,碩士,N, 
中華統一促進黨,2,趙福芬,2,620702,42,臺灣省,碩士,N, 
中華統一促進黨,3,莊永彰,1,551203,49,臺灣省,專科,N, 
中華統一促進黨,4,肖云霞,2,580302,46,其他,高中,N, 
中華統一促進黨,5,陳建華,1,730807,31,臺北市,大學,N, 
中華統一促進黨,6,李淑華,2,570311,47,臺灣省,其他,N, 
中華統一促進黨,7,張孟崇,1,490521,55,臺灣省,專科,N, 
中華統一促進黨,8,陳韻如,2,671023,37,臺北市,專科,N, 
